module name,licenses,repository,licenseUrl,parents
@domino/domino-db,SEE LICENSE IN LICENSE,,,user-service
@emotion/react,MIT,https://github.com/emotion-js/emotion/tree/main/packages/react,https://github.com/emotion-js/emotion/tree/main/packages/react/raw/master/LICENSE,boards-webfront
@emotion/styled,MIT,https://github.com/emotion-js/emotion/tree/main/packages/styled,https://github.com/emotion-js/emotion/tree/main/packages/styled/raw/master/LICENSE,boards-webfront
@fontsource/roboto,MIT,https://github.com/fontsource/fontsource,https://github.com/fontsource/fontsource,boards-webfront
@huddo/utils,MIT,https://github.com/isw-kudos/huddo-utils,https://github.com/isw-kudos/huddo-utils/raw/master/licences.csv,user-service
@iconify/react,MIT,https://github.com/iconify/iconify,https://github.com/iconify/iconify/raw/master/license.txt,boards-webfront
@kenjiuno/decompressrtf,BSD-2-Clause,github:HiraokaHyperTools/DeCompressRTF,github:HiraokaHyperTools/DeCompressRTF,boards-core
@kenjiuno/msgreader,ISC,github:HiraokaHyperTools/msgreader,github:HiraokaHyperTools/msgreader,boards-core
@microsoft/microsoft-graph-client,MIT,https://github.com/microsoftgraph/msgraph-sdk-javascript,https://github.com/microsoftgraph/msgraph-sdk-javascript/raw/master/LICENSE,provider-service
@microsoft/teams-js,MIT,https://github.com/OfficeDev/microsoft-teams-library-js,https://github.com/OfficeDev/microsoft-teams-library-js/raw/master/LICENSE,boards-webfront
@mui/icons-material,MIT,https://github.com/mui/material-ui,https://github.com/mui/material-ui/raw/master/LICENSE,boards-webfront
@mui/lab,MIT,https://github.com/mui/material-ui,https://github.com/mui/material-ui/raw/master/LICENSE,boards-webfront
@mui/material,MIT,https://github.com/mui/material-ui,https://github.com/mui/material-ui/raw/master/LICENSE,boards-webfront
@mui/styles,MIT,https://github.com/mui/material-ui,https://github.com/mui/material-ui/raw/master/LICENSE,boards-webfront
@mui/x-date-pickers,MIT,https://github.com/mui/mui-x,https://github.com/mui/mui-x/raw/master/LICENSE,boards-webfront
@socket.io/redis-adapter,MIT,https://github.com/socketio/socket.io-redis-adapter,https://github.com/socketio/socket.io-redis-adapter/raw/master/LICENSE,boards-core
@tanstack/react-virtual,MIT,https://github.com/tanstack/virtual,https://github.com/tanstack/virtual,boards-webfront
@visx/event,MIT,https://github.com/airbnb/visx,https://github.com/airbnb/visx/raw/master/LICENSE,boards-webfront
@visx/group,MIT,https://github.com/airbnb/visx,https://github.com/airbnb/visx/raw/master/LICENSE,boards-webfront
@visx/shape,MIT,https://github.com/airbnb/visx,https://github.com/airbnb/visx/raw/master/LICENSE,boards-webfront
anchorme,MIT,https://github.com/alexcorvi/anchorme.js,https://github.com/alexcorvi/anchorme.js/raw/master/LICENSE.md,boards-webfront
async-parallel,MIT,https://github.com/davetemplin/async-parallel,https://github.com/davetemplin/async-parallel/raw/master/LICENSE,activity-migration
async,MIT,https://github.com/caolan/async,https://github.com/caolan/async/raw/master/LICENSE,provider-service
autosuggest-highlight,MIT,https://github.com/moroshko/autosuggest-highlight,https://github.com/moroshko/autosuggest-highlight/raw/master/LICENSE,boards-webfront
awesome-debounce-promise,MIT,https://github.com/slorber/awesome-debounce-promise,https://github.com/slorber/awesome-debounce-promise,boards-webfront
botbuilder,MIT,https://github.com/Microsoft/botbuilder-js,https://github.com/Microsoft/botbuilder-js/raw/master/LICENSE,provider-service
bowser,MIT,https://github.com/lancedikson/bowser,https://github.com/lancedikson/bowser/raw/master/LICENSE,user-service
bson-objectid,Apache-2.0,https://github.com/williamkapke/bson-objectid,https://github.com/williamkapke/bson-objectid/raw/master/LICENSE,boards-core
clipboard-copy,MIT,https://github.com/feross/clipboard-copy,https://github.com/feross/clipboard-copy/raw/master/LICENSE,boards-webfront
cookie-parser,MIT,https://github.com/expressjs/cookie-parser,https://github.com/expressjs/cookie-parser/raw/master/LICENSE,boards-core
copy-webpack-plugin,MIT,https://github.com/webpack-contrib/copy-webpack-plugin,https://github.com/webpack-contrib/copy-webpack-plugin/raw/master/LICENSE,boards-webfront
copyfiles,MIT,https://github.com/calvinmetcalf/copyfiles,https://github.com/calvinmetcalf/copyfiles/raw/master/license.md,boards-event-service
csv-parse,MIT,https://github.com/wdavidw/node-csv-parse,https://github.com/wdavidw/node-csv-parse/raw/master/LICENSE,boards-app
d3-hierarchy,ISC,https://github.com/d3/d3-hierarchy,https://github.com/d3/d3-hierarchy/raw/master/LICENSE,boards-webfront
date-fns,MIT,https://github.com/date-fns/date-fns,https://github.com/date-fns/date-fns/raw/master/LICENSE.md,boards-webfront
dotenv,BSD-2-Clause,https://github.com/motdotla/dotenv,https://github.com/motdotla/dotenv/raw/master/LICENSE,licence-service
env-cmd,MIT,https://github.com/toddbluhm/env-cmd,https://github.com/toddbluhm/env-cmd/raw/master/LICENSE,boards-webfront
express-rate-limit,MIT,https://github.com/express-rate-limit/express-rate-limit,https://github.com/express-rate-limit/express-rate-limit/raw/master/license.md,boards-core
flexsearch,Apache-2.0,https://github.com/nextapps-de/flexsearch,https://github.com/nextapps-de/flexsearch/raw/master/LICENSE,boards-webfront
git-branch-is,MIT,https://github.com/kevinoid/git-branch-is,https://github.com/kevinoid/git-branch-is/raw/master/LICENSE.txt,user-service
html2canvas,MIT,https://github.com/niklasvh/html2canvas,https://github.com/niklasvh/html2canvas/raw/master/LICENSE,boards-webfront
ibm_db,MIT,https://github.com/ibmdb/node-ibm_db,https://github.com/ibmdb/node-ibm_db/raw/master/LICENSE,activity-migration
ics,ISC,https://github.com/adamgibbons/ics,https://github.com/adamgibbons/ics/raw/master/LICENSE,boards-app
immutability-helper,MIT,https://github.com/kolodny/immutability-helper,https://github.com/kolodny/immutability-helper/raw/master/LICENSE,boards-webfront
inline-css,MIT,https://github.com/jonkemp/inline-css,https://github.com/jonkemp/inline-css/raw/master/LICENSE,notification-service
json-stringify-deterministic,MIT,https://github.com/kikobeats/json-stringify-deterministic,https://github.com/kikobeats/json-stringify-deterministic/raw/master/LICENSE.md,boards-webfront
jsonwebtoken,MIT,https://github.com/auth0/node-jsonwebtoken,https://github.com/auth0/node-jsonwebtoken/raw/master/LICENSE,user-service
jszip,(MIT OR GPL-3.0-or-later),https://github.com/Stuk/jszip,https://github.com/Stuk/jszip/raw/master/LICENSE.markdown,provider-service
juice,MIT,https://github.com/Automattic/juice,https://github.com/Automattic/juice/raw/master/LICENSE.md,boards-app
lodash,MIT,https://github.com/lodash/lodash,https://github.com/lodash/lodash/raw/master/LICENSE,user-service
luxon,MIT,https://github.com/moment/luxon,https://github.com/moment/luxon/raw/master/LICENSE.md,user-service
mailparser,MIT,https://github.com/nodemailer/mailparser,https://github.com/nodemailer/mailparser/raw/master/LICENSE,boards-core
mammoth,BSD-2-Clause,https://github.com/mwilliamson/mammoth.js,https://github.com/mwilliamson/mammoth.js/raw/master/LICENSE,boards-webfront
mdi-material-ui,MIT,https://github.com/TeamWertarbyte/mdi-material-ui,https://github.com/TeamWertarbyte/mdi-material-ui/raw/master/LICENSE.txt,boards-webfront
mime,MIT,https://github.com/broofa/mime,https://github.com/broofa/mime/raw/master/LICENSE,boards-webfront
mixpanel-browser,Apache-2.0,https://github.com/mixpanel/mixpanel-js,https://github.com/mixpanel/mixpanel-js/raw/master/LICENSE,boards-webfront
mixpanel,MIT,http://github.com/mixpanel/mixpanel-node,http://github.com/mixpanel/mixpanel-node/raw/master/LICENSE,boards-core
moment,MIT,https://github.com/moment/moment,https://github.com/moment/moment/raw/master/LICENSE,notification-service
mongoose-delete,MIT,https://github.com/dsanel/mongoose-delete,https://github.com/dsanel/mongoose-delete/raw/master/LICENSE,boards-app
mongoose,MIT,https://github.com/Automattic/mongoose,https://github.com/Automattic/mongoose/raw/master/LICENSE.md,boards-event-service
msheader,ISC,https://github.com/iswkudos/o365header,https://github.com/iswkudos/o365header,boards-webfront
mssql,MIT,github:tediousjs/node-mssql,github:tediousjs/node-mssql,activity-migration
mustache,MIT,https://github.com/janl/mustache.js,https://github.com/janl/mustache.js/raw/master/LICENSE,notification-service
node-fetch,MIT,https://github.com/bitinn/node-fetch,https://github.com/bitinn/node-fetch/raw/master/LICENSE.md,user-service
node-gyp,MIT,https://github.com/nodejs/node-gyp,https://github.com/nodejs/node-gyp/raw/master/LICENSE,activity-migration
node-vibrant,MIT,https://github.com/akfish/node-vibrant,https://github.com/akfish/node-vibrant/raw/master/LICENSE.md,boards-webfront
nodemailer-sendgrid,MIT,,,notification-service
nodemailer,MIT-0,https://github.com/nodemailer/nodemailer,https://github.com/nodemailer/nodemailer/raw/master/LICENSE,notification-service
normalizr,MIT,https://github.com/paularmstrong/normalizr,https://github.com/paularmstrong/normalizr/raw/master/LICENSE,boards-webfront
oauth2-server,MIT,https://github.com/oauthjs/node-oauth2-server,https://github.com/oauthjs/node-oauth2-server/raw/master/LICENSE,user-service
oracledb,Apache-2.0,https://github.com/oracle/node-oracledb,https://github.com/oracle/node-oracledb/raw/master/LICENSE.txt,activity-migration
prop-types,MIT,https://github.com/facebook/prop-types,https://github.com/facebook/prop-types/raw/master/LICENSE,boards-webfront
query-string,MIT,https://github.com/sindresorhus/query-string,https://github.com/sindresorhus/query-string/raw/master/license,user-service
rate-limit-redis,MIT,https://github.com/wyattjoh/rate-limit-redis,https://github.com/wyattjoh/rate-limit-redis/raw/master/license.md,boards-core
react-autosize-textarea,MIT,https://github.com/buildo/react-autosize-textarea,https://github.com/buildo/react-autosize-textarea/raw/master/LICENSE.txt,boards-webfront
react-color,MIT,https://github.com/casesandberg/react-color,https://github.com/casesandberg/react-color/raw/master/LICENSE,boards-webfront
react-dnd-html5-backend,MIT,https://github.com/react-dnd/react-dnd,https://github.com/react-dnd/react-dnd/raw/master/LICENSE,boards-webfront
react-dnd-multi-backend,MIT,https://github.com/LouisBrunner/dnd-multi-backend/tree/master/packages/react-dnd-multi-backend,https://github.com/LouisBrunner/dnd-multi-backend/tree/master/packages/react-dnd-multi-backend/raw/master/LICENSE,boards-webfront
react-dnd-touch-backend,MIT,https://github.com/react-dnd/react-dnd,https://github.com/react-dnd/react-dnd/raw/master/LICENSE,boards-webfront
react-dnd,MIT,https://github.com/react-dnd/react-dnd,https://github.com/react-dnd/react-dnd/raw/master/LICENSE,boards-webfront
react-dom,MIT,https://github.com/facebook/react,https://github.com/facebook/react/raw/master/LICENSE,boards-webfront
react-file-icon,MIT,https://github.com/corygibbons/react-file-icon,https://github.com/corygibbons/react-file-icon/raw/master/LICENSE,boards-webfront
